payment_id,customer_id,staff_id,rental_id,amount,payment_date,last_update,rental_date,inventory_id,return_date,PaymentMethod,Rental_Duration
7,1,1,2308,4.99,2005-06-18 00:00:00.000,2006-02-15 00:00:00.000,2005-06-18 00:00:00.000,197,2005-06-22 00:00:00.000,"Credit Card",4
13,1,1,5326,4.99,2005-07-09 00:00:00.000,2006-02-15 00:00:00.000,2005-07-09 00:00:00.000,797,2005-07-13 00:00:00.000,"Credit Card",4
16,1,1,7841,4.99,2005-07-28 00:00:00.000,2006-02-15 00:00:00.000,2005-07-28 00:00:00.000,1092,2005-07-30 00:00:00.000,"Credit Card",2
8554,316,1,16,4.99,2005-05-25 00:00:00.000,2006-02-15 00:00:00.000,2005-05-25 00:00:00.000,389,2005-05-26 00:00:00.000,"Credit Card",1
13711,509,1,22,4.99,2005-05-25 00:00:00.000,2006-02-15 00:00:00.000,2005-05-25 00:00:00.000,727,2005-05-26 00:00:00.000,"Credit Card",1
9463,350,1,24,4.99,2005-05-25 00:00:00.000,2006-02-15 00:00:00.000,2005-05-25 00:00:00.000,3273,2005-05-27 00:00:00.000,"Credit Card",2
11170,413,1,40,4.99,2005-05-25 00:00:00.000,2006-02-15 00:00:00.000,2005-05-25 00:00:00.000,2638,2005-05-27 00:00:00.000,"Credit Card",2
43,2,1,9031,4.99,2005-07-30 00:00:00.000,2006-02-15 00:00:00.000,2005-07-30 00:00:00.000,2377,2005-08-04 00:00:00.000,"Credit Card",5
6889,256,1,51,4.99,2005-05-25 00:00:00.000,2006-02-15 00:00:00.000,2005-05-25 00:00:00.000,1257,2005-05-26 00:00:00.000,"Credit Card",1
67,3,1,4725,4.99,2005-07-08 00:00:00.000,2006-02-15 00:00:00.000,2005-07-08 00:00:00.000,2058,2005-07-15 00:00:00.000,"Credit Card",7
3529,131,1,83,4.99,2005-05-25 00:00:00.000,2006-02-15 00:00:00.000,2005-05-25 00:00:00.000,466,2005-05-27 00:00:00.000,"Credit Card",2
11191,414,1,85,4.99,2005-05-25 00:00:00.000,2006-02-15 00:00:00.000,2005-05-25 00:00:00.000,470,2005-05-29 00:00:00.000,"Credit Card",4
1204,44,1,99,4.99,2005-05-25 00:00:00.000,2006-02-15 00:00:00.000,2005-05-25 00:00:00.000,535,2005-05-28 00:00:00.000,"Credit Card",3
469,18,1,116,4.99,2005-05-25 00:00:00.000,2006-02-15 00:00:00.000,2005-05-25 00:00:00.000,4453,2005-05-26 00:00:00.000,"Credit Card",1
118,5,1,5016,4.99,2005-07-09 00:00:00.000,2006-02-15 00:00:00.000,2005-07-09 00:00:00.000,1871,2005-07-09 00:00:00.000,"Credit Card",0
130,5,1,9493,4.99,2005-07-30 00:00:00.000,2006-02-15 00:00:00.000,2005-07-30 00:00:00.000,1522,2005-08-08 00:00:00.000,"Credit Card",9
6004,222,1,134,4.99,2005-05-25 00:00:00.000,2006-02-15 00:00:00.000,2005-05-25 00:00:00.000,2272,2005-06-02 00:00:00.000,"Credit Card",8
15709,587,1,181,4.99,2005-05-26 00:00:00.000,2006-02-15 00:00:00.000,2005-05-26 00:00:00.000,2417,2005-05-29 00:00:00.000,"Credit Card",3
187,7,1,4856,4.99,2005-07-08 00:00:00.000,2006-02-15 00:00:00.000,2005-07-08 00:00:00.000,2441,2005-07-13 00:00:00.000,"Credit Card",5
3058,114,1,205,4.99,2005-05-26 00:00:00.000,2006-02-15 00:00:00.000,2005-05-26 00:00:00.000,303,2005-05-29 00:00:00.000,"Credit Card",3
12415,460,1,223,4.99,2005-05-26 00:00:00.000,2006-02-15 00:00:00.000,2005-05-26 00:00:00.000,3121,2005-05-30 00:00:00.000,"Credit Card",4
9859,365,1,231,4.99,2005-05-26 00:00:00.000,2006-02-15 00:00:00.000,2005-05-26 00:00:00.000,4032,2005-05-27 00:00:00.000,"Credit Card",1
5719,211,1,238,4.99,2005-05-26 00:00:00.000,2006-02-15 00:00:00.000,2005-05-26 00:00:00.000,503,2005-05-27 00:00:00.000,"Credit Card",1
244,9,1,9043,4.99,2005-07-30 00:00:00.000,2006-02-15 00:00:00.000,2005-07-30 00:00:00.000,4127,2005-08-02 00:00:00.000,"Credit Card",3
253,9,1,15813,4.99,2006-02-14 00:00:00.000,2006-02-15 00:00:00.000,2006-02-14 00:00:00.000,981,2005-06-02 00:00:00.000,"Credit Card",-257
10555,390,1,254,4.99,2005-05-26 00:00:00.000,2006-02-15 00:00:00.000,2005-05-26 00:00:00.000,1835,2005-05-31 00:00:00.000,"Credit Card",5
